stage,kind,query,reason,url_or_doi,date
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.30574/ijsra.2024.13.1.1838,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.21275/sr231021114758,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.1002/smr.70029,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.34218/ijdo_02_01_002,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.3390/electronics13010017,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.1038/s41746-023-00968-8,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.21595/jmai.2023.23410,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.21817/indjcse/2024/v15i1/241501028,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.55041/ijsrem35244,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.1371/journal.pdig.0000509,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.1080/09537287.2024.2349231,2026-08-16
06交付,paper,"""user acceptance testing"" software delivery",title_abstract_not_on_topic,10.1109/access.2024.3384410,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.1016/j.ress.2025.111311,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.1186/s12866-023-03133-z,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.1080/23311916.2023.2276495,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.1038/s41586-024-08249-4,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.1057/s41599-025-04787-y,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.1016/j.nima.2025.170445,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.1186/s41239-024-00446-5,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.2196/53008,2026-08-16
06交付,paper,"""verification and validation"" software acceptance",title_abstract_not_on_topic,10.3390/electronics13030542,2026-08-16
