id,stage,kind,title,year,doi,url,quality,directness,peer_reviewed,counts_toward_quota,review_status,checksum_sha256,exclude_reason
01-B01,01洽谈,blog,Discovery Call Playbook for B2B Sales | Complete Guide,,,https://blog.sellible.ai/discovery-call-playbook-for-b2b-sales,medium,商业经验,False,True,close_read,5e23985d0437ca57b9350ac45972c212b1462944a48fe5b42395c1b418b185b9,
01-B03,01洽谈,blog,"Ask better, sell smarter: The discovery questions that win B2B sales",,,https://www.sifthub.io/blog/sales-discovery-questions,medium,商业经验,False,True,close_read,edcf08a7145a1413f577d66200d1cfb90e59396640259fc360a36958bca084fc,
01-B04,01洽谈,blog,B2B Sales Discovery Questions: 50+ by Stage & Persona,,,https://upliftsales.com.au/blog/b2b-sales-discovery-questions,medium,商业经验,False,True,close_read,a66f4d742f0dc2ad0c3ab9d17673a486117cfa2a4f72fb624773baa4acfa9bac,
01-B05,01洽谈,blog,Discovery call playbook + 90 downloadable questions,,,https://www.avoma.com/blog/discovery-call,medium,商业经验,False,True,close_read,bc0b7ccf6bcb468edfecf2dcd00f7e6484d8148767abcd276c968cf672ae764b,
01-B06,01洽谈,blog,B2B Customer Discovery Interview Questions for B2B Entrepreneurs,,,https://leanb2bbook.com/blog/b2b-customer-discovery-interview-questions-the-master-list,medium,商业经验,False,True,close_read,9bc6d45475fb53daa5d794f87ed8b74e1bd58f1d4595e368d02c459a8079850b,
01-B07,01洽谈,blog,20 Sales Discovery Questions to Better Qualify Leads,,,https://www.highspot.com/blog/discovery-call-questions,medium,商业经验,False,True,close_read,9c9fa4ad4c4e3c133447efb243d4a22f58145114020844464feb376e147f78ff,
01-B09,01洽谈,blog,​Sales Qualification Frameworks: BANT vs MEDDIC vs SPIN vs Challenger Sale · Saber,,,https://www.saber.app/blog/sales-qualification-frameworks-comparison,medium,商业经验,False,True,close_read,8451cc1ffe211d17755a32f3ea279d4beddad0b247a1ca1a44e45d081b7e6eaa,
01-B10,01洽谈,blog,BANT vs MEDDIC: Which Sales Qualification Framework Wins?,,,https://www.sybill.ai/blogs/bant-vs-meddic,medium,商业经验,False,True,close_read,c1e280517c49424eaebd35165fdd086efd3927acc67bcbc1912e0adf5aa9df14,
01-B11,01洽谈,blog,The Complete Lead Qualification Framework Guide for B2B Sales | Salesmotion,,,https://salesmotion.io/blog/lead-qualification-framework-guide,medium,商业经验,False,True,close_read,83b8e2b321253633cd1428df1aaca97c4eca6d6c47b196eaabcbcc1f99d35bf2,
01-B12,01洽谈,blog,BANT vs MEDDIC: Which Sales Qualification Wins in 2024 | Prolifiq,,,https://www.prolifiq.com/post/bant-vs-meddic,medium,商业经验,False,True,close_read,98bce333ed8a9dbb070b4e232bf4d30ec1d9b94d71bb768fd6316f70d2af19bb,
01-B13,01洽谈,blog,B2B opportunity qualification: beyond BANT and MEDDIC to IMPACCT,,,https://www.linkedin.com/pulse/b2b-opportunity-qualification-beyond-bant-meddic-impacct-bob-apollo-ynype,medium,商业经验,False,False,excluded,71fc7f8aedd6229905aef51418f7704d50e8c8558b2dc4a633b177ac0cc8ca9a,not_tech_blog_host
01-B14,01洽谈,blog,BANT vs. MEDDIC: Comparing Sales Methodologies | Salesforce,,,https://www.salesforce.com/blog/sales/bant-vs-meddic,medium,商业经验,False,True,close_read,b96f5ea7caed3f7fd0719915f39fe98df6dbec415e3918d436ed78a2d6753cd7,
01-B15,01洽谈,blog,MEDDICC vs Other Qualification Frameworks like BANT - MEDDICC,,,https://meddicc.com/resources/meddicc-versus-other-qualification-frameworks-like-bant,medium,商业经验,False,True,close_read,928844d9daa2962389ef07591975a2561e9cd1d7988aaa8fde865ea4b2abf35a,
01-B17,01洽谈,blog,Consultative Selling: Strategies for Success | Mailchimp,,,https://mailchimp.com/resources/consultative-selling,medium,商业经验,False,True,close_read,dd7a431c0998fad00af664a5e8cafba886c39f35daddf1a28cd46675ecfb7b78,
01-B18,01洽谈,blog,Consultative Selling: Techniques To Close More Deals,,,https://www.highspot.com/blog/consultative-selling-techniques,medium,商业经验,False,True,close_read,602e42d9540906f702f4c13dc03134c3455af10ee1b4abb5b963b5775a5d6533,
01-B19,01洽谈,blog,Enhancing Sales with Consultative Selling Techniques | Gong,,,https://www.gong.io/blog/consultative-selling,medium,商业经验,False,True,close_read,65b7cc62c01d1aacfa4e415112208b4398558d1ac8fa4ef32d52855d85226457,
01-B20,01洽谈,blog,"Consultative selling: Definition, principles & strategies",,,https://www.simon-kucher.com/en/insights/consultative-selling-building-trust-and-driving-success,medium,商业经验,False,True,close_read,58aa078fb43abab8286d99983be73b4d64b398044541111b1f19c89a3ecf7054,
01-B21,01洽谈,blog,The Complete Guide to Consultative Selling | Mindtickle,,,https://www.mindtickle.com/blog/the-complete-guide-to-closing-more-deals-using-consultative-selling,medium,商业经验,False,True,close_read,12b9229053973ddfca43d782f0038705ed5ed21dc6c1a0deb45a7e78c858f3d2,
01-B22,01洽谈,blog,What does the Consultative Sales Approach mean? | MTD Sales Training,,,https://www.mtdsalestraining.com/mtdblog/consultative-sales-approach.html,medium,商业经验,False,True,close_read,97afd1fe8a18570439554ac7023a1848dce76ea8bc66ebb8f9e3d9d25e7a7cf3,
01-B24,01洽谈,blog,What Is Consultative Sales? 5 Guiding Principles | Salesforce,,,https://www.salesforce.com/blog/sales/consultative-sales-approach,medium,商业经验,False,True,close_read,91f0d840a1d5667849aed69762eb54ebb2b8f353e31f5000be069c128968cd73,
01-B25,01洽谈,blog,How the discovery phase works,2024,,https://www.gov.uk/service-manual/agile-delivery/how-the-discovery-phase-works,medium,规范性,False,True,close_read,864e84d7aa88e601bf692ae669863ccc22ceaa447005fa2d53588347a0ea0a22,
01-P03,01洽谈,paper,Buying center-selling center interaction as a driver for power dynamics in buyer-supplier relationships,2023,10.1016/j.indmarman.2023.08.007,https://doi.org/10.1016/j.indmarman.2023.08.007,high,同构迁移,True,True,close_read,6c8d458ce4b61499c821da8a79281570839c530706d040377a5df4e3162e9365,
01-P07,01洽谈,paper,The Impact of Technology on Sales Performance in B2B Companies,2024,10.60087/jaigs.vol03.issue01.p102,http://dx.doi.org/10.60087/jaigs.vol03.issue01.p102,low,同构迁移,False,True,background,d82b6f49dae349c0461ac745614fce32c20a1b7ea5e168cf22485e21d1ff8096,
01-P09,01洽谈,paper,Selling and sales management for successful servitization: a systematic review and research agenda,2025,10.1080/08853134.2025.2502168,https://doi.org/10.1080/08853134.2025.2502168,high,同构迁移,True,True,anchor_reread,5e494b22c5a40e83b46547403bd64c4ca6ae3d5346a220ca3214b78aba98ea21,
01-P11,01洽谈,paper,"Customer success managers' involvement in sales: Taxonomy, frictions, and implications",2024,10.1016/j.indmarman.2024.08.011,https://doi.org/10.1016/j.indmarman.2024.08.011,high,同构迁移,True,True,anchor_reread,3e6f1c449df31f34d9c8ea68b6c09c482c0aaf84abbe7cb3fcb33da6b93829bf,
01-P12,01洽谈,paper,Don’t put all the eggs in one basket: examining adaptive selling behavior in salespeople’s performance,2024,10.1007/s12144-024-06720-z,https://doi.org/10.1007/s12144-024-06720-z,high,同构迁移,True,True,anchor_reread,4617b581a5a68d6c0d0a75226efcdccd005dfe0887208308feb4a99b10523d9b,
01-P14,01洽谈,paper,Business-to-Business sellers’ motivations in sales performance – A six-dimensional framework proposition,2023,10.4102/sajems.v26i1.4923,https://doi.org/10.4102/sajems.v26i1.4923,medium,同构迁移,False,True,close_read,4736a738e52ebf65891dc1ecaca74c36338e212db220fc0796c41c423cc403c3,
01-P16,01洽谈,paper,Successful Personal Selling as an Indicator of Professional Activity Effectiveness of an Architectural and Construction Company Manager in the Context of Marketing Complex Transformation,2025,10.15276/etr.01.2025.5,https://doi.org/10.15276/etr.01.2025.5,low,同构迁移,False,True,background,6d216c9061b74fa9e9c095d2530728eb2c921c8177fffc138b010d27d1b65eb6,
01-P17,01洽谈,paper,Bidding for B2B or B2G tenders: toward the adoption of pricing models in practice,2024,10.1007/s11301-024-00424-1,https://doi.org/10.1007/s11301-024-00424-1,medium,同构迁移,False,True,close_read,ce5a79e5a87b3c8eaf05f79d9ded6774fd50f5e48392326d4bda9982a4d459d1,
01-P19,01洽谈,paper,Triadic capabilities of sales personnel in power generation enterprises under China’s electricity market reform: Generation and evolution mechanisms,2026,10.1371/journal.pone.0355359,https://doi.org/10.1371/journal.pone.0355359,medium,同构迁移,False,True,close_read,7e18cfd11879cd168c3918b575de10d8dff7041cf99963d509857b1e4511b944,
01-P21,01洽谈,paper,The Zoomification Effect: How Virtual Selling is Costing Enterprise Deals 23% in Value—And the Neuroscience Behind Why Handshakes Still Matter,2025,10.36948/ijfmr.2025.v07i03.48943,https://doi.org/10.36948/ijfmr.2025.v07i03.48943,low,同构迁移,False,True,background,f6df53fca1eadc0978b2404443e9c0bdee494e1b5745f13b0350a050cbba154c,
01-P22,01洽谈,paper,From voice-of-field to product strategy: Operationalizing sales feedback loops in AI product go-to-market systems,2026,10.30574/wjaets.2026.20.1.0363,https://doi.org/10.30574/wjaets.2026.20.1.0363,low,同构迁移,False,True,background,7239de4aa08857d9d02fa051f020d640dc91c334e7cdbb9c77ea86e0b91dbdc5,
01-P24,01洽谈,paper,In search of digital solution sellers: the role of non-monetary motivation and empowering leadership behaviors,2024,10.1080/08853134.2024.2305496,https://doi.org/10.1080/08853134.2024.2305496,high,同构迁移,True,True,anchor_reread,c4488165ed2640b508964f6faab96db0591bce33387353394cdcf730c2b007ce,
01-P25,01洽谈,paper,Insurance Companies’ Salesperson Lead Qualification Skills and Salesperson’s Performance: Mediating Role of Salesperson’s Adaptive Selling Behavior,2024,10.33215/tkjsnk96,https://doi.org/10.33215/tkjsnk96,medium,同构迁移,False,True,close_read,c1db75efe0234222cbc210808519f1d4a51df071eb6b97d5a3a176782a159e03,
01-P26,01洽谈,paper,Adaptive Selling Behavior and Salesperson Performance in the Ugandan Insurance Industry: An Empirical Study,2024,10.21325/jotags.2024.1408,https://doi.org/10.21325/jotags.2024.1408,medium,同构迁移,False,True,close_read,d847996e3d84b2c9fa0e174b66d81eb50b3a709f04f4976133c2a27264acf53b,
01-P27,01洽谈,paper,"The past, present, and future of adaptive selling: Toward an integrative framework",2025,10.1007/s11747-025-01096-3,https://doi.org/10.1007/s11747-025-01096-3,high,同构迁移,True,True,anchor_reread,e26040d3c2c8a769ebd0f33cf1f51b3997c44b7dee0e82d4b3058945196db959,
01-P28,01洽谈,paper,Managerial latitude and adaptive selling: Important roles of salesperson perceived control and work centrality,2023,10.1016/j.jbusres.2023.114441,https://doi.org/10.1016/j.jbusres.2023.114441,high,同构迁移,True,True,close_read,93bfd8d8967505c162d7df2c248330736aeccdc0f02e11c42d8dad84c9bebb91,
