source_id,stage,kind,doi,norm_url,title_norm,year,status
09-P01,09收尾,paper,10.71097/ijsat.v17.i2.11317,https://doi.org/10.71097/ijsat.v17.i2.11317,from construction closeout to homeowner handover a unitspecific digital turnover framework for luxury highrise residential projects,2026,fulltext
09-P02,09收尾,paper,10.32628/ijsrset2513845,https://doi.org/10.32628/ijsrset2513845,kpi architecture from scopeofwork to closeout a digital documentcontrol pipeline for construction and maintenance quality assurance,2024,fulltext
09-P03,09收尾,paper,10.47852/bonviewjcbar52024236,https://doi.org/10.47852/bonviewjcbar52024236,client involvement in agile project management impact on operational performance and successful project handover in jordan,2025,fulltext
09-P04,09收尾,paper,10.37253/jcep.v4i2.8690,https://doi.org/10.37253/jcep.v4i2.8690,the impact of a defect list and outstanding list in expediting the project handover process of paxoceans new building centre,2023,fulltext
09-P05,09收尾,paper,10.61426/sjbcm.v10i4.2800,https://doi.org/10.61426/sjbcm.v10i4.2800,influence of capacity building on successful handover of projects to beneficiaries in rwanda,2023,fulltext
09-P06,09收尾,paper,10.1080/09537287.2023.2256287,https://doi.org/10.1080/09537287.2023.2256287,benefits realisation case studies in public major project delivery,2023,fulltext
09-P07,09收尾,paper,10.12821/ijispm130403,https://doi.org/10.12821/ijispm130403,exploring temporal dimensions of benefits realisation management in agile it environments,2025,fulltext
09-P08,09收尾,paper,10.30574/wjarr.2024.21.1.0034,https://doi.org/10.30574/wjarr.2024.21.1.0034,achieving strategic excellence in healthcare projects leveraging benefit realization management framework,2024,fulltext
09-P09,09收尾,paper,10.53378/ijemds.353311,https://doi.org/10.53378/ijemds.353311,optimizing benefits realization in ghanaian public universities the role of portfolio management practices strategic resource alignment and institutional culture,2026,fulltext
09-P10,09收尾,paper,10.2196/56125,https://doi.org/10.2196/56125,humancentered design and benefit realization management in digital health care solution development protocol for a systematic review,2024,fulltext
09-P11,09收尾,paper,10.5585/2025.28191,https://doi.org/10.5585/2025.28191,value management office vmo como pilar da gesto de valor organizacional,2025,fulltext
09-P12,09收尾,paper,10.7166/36-2-3241,https://doi.org/10.7166/36-2-3241,improving organisational learning in projectbased organisations through the translation of project lessons learnt into project risks,2025,fulltext
09-P13,09收尾,paper,10.34190/ejkm.24.1.4332,https://doi.org/10.34190/ejkm.24.1.4332,a scoping review on projectbased organizations pbos knowledge transfer using the systemic lessons learned knowledge syllk model as an interpretative structural model ism,2025,fulltext
09-P14,09收尾,paper,10.1016/j.plas.2024.100139,https://doi.org/10.1016/j.plas.2024.100139,pm soft skills foster knowledge sharing,2024,fulltext
09-P15,09收尾,paper,10.1108/ijmpb-02-2025-0057,https://doi.org/10.1108/ijmpb-02-2025-0057,conditions of project knowledge transfer events,2025,fulltext
09-P16,09收尾,paper,10.34190/ejkm.22.2.3526,https://doi.org/10.34190/ejkm.22.2.3526,itproject knowledge transfer ecollaboration,2024,fulltext
09-P17,09收尾,paper,10.66262/jsea.10033,https://doi.org/10.66262/jsea.10033,pmo solution knowledge management challenges pbo,2024,fulltext
09-P18,09收尾,paper,10.1371/journal.pone.0306702,https://doi.org/10.1371/journal.pone.0306702,pmo implementation of strategic plans in pbos,2024,fulltext
09-P19,09收尾,paper,10.63332/joph.v5i1.674,https://doi.org/10.63332/joph.v5i1.674,organizational learning in projects,2025,fulltext
09-P20,09收尾,paper,10.7769/gesec.v14i11.3086,https://doi.org/10.7769/gesec.v14i11.3086,organizational commitment km processes pbo,2023,fulltext
09-P21,09收尾,paper,10.37745/ijbmr.2013/vol13n4110,https://doi.org/10.37745/ijbmr.2013/vol13n4110,scope creep in largescale projects denver,2025,fulltext
09-P22,09收尾,paper,10.58812/esmb.v4i01.663,https://doi.org/10.58812/esmb.v4i01.663,scope creep control in it projects,2025,fulltext
09-P23,09收尾,paper,10.59857/igcj5838,https://doi.org/10.59857/igcj5838,determinants of scope creep construction,2025,fulltext
09-P24,09收尾,paper,10.38124/ijisrt/25dec914,https://doi.org/10.38124/ijisrt/25dec914,mitigating scope creep construction systemsbased,2025,fulltext
09-P25,09收尾,paper,10.53819/81018102t2283,https://doi.org/10.53819/81018102t2283,effect of project management process on performance of energy infrastructure projects in rwanda,2023,fulltext
09-P26,09收尾,paper,10.3390/su16104275,https://doi.org/10.3390/su16104275,sustainability in project management practices,2024,fulltext
09-P27,09收尾,paper,10.21474/ijar01/22430,https://doi.org/10.21474/ijar01/22430,bim and brm digital value transformation,2025,fulltext
09-P28,09收尾,paper,10.2478/emj-2024-0004,https://doi.org/10.2478/emj-2024-0004,knowledge transfer in interim management projects,2024,fulltext
09-P29,09收尾,paper,10.1136/bmjoq-2023-002349,https://doi.org/10.1136/bmjoq-2023-002349,identifying value healthcare transformation benefits,2023,fulltext
09-P30,09收尾,paper,10.5281/zenodo.17793005,https://doi.org/10.5281/zenodo.17793005,effect of project scope creep on performance,2025,fulltext
09-B01,09收尾,blog,,https://monday.com/blog/project-management/project-closeout,project closeout process steps checklist and best practices 2026,,fulltext
09-B02,09收尾,blog,,https://www.projectmanagertemplate.com/post/project-closeout-checklist-an-ultimate-guide,project closeout checklist an ultimate guide,,fulltext
09-B03,09收尾,blog,,https://plane.so/blog/what-is-project-closure,what is project closure checklist process and key steps  plane blog,,fulltext
09-B04,09收尾,blog,,https://www.projectmanager.com/blog/project-closure,7 steps to project closure checklist included,,fulltext
09-B05,09收尾,blog,,https://www.tigernix.com/blog/comprehensive-checklist-successful-project-closure,comprehensive checklist for a successful project closure  tigernix business blog,,fulltext
09-B06,09收尾,blog,,https://productive.io/blog/project-closure,what is project closure guide steps best practicestools,,fulltext
09-B07,09收尾,blog,,https://www.manifest.ly/use-cases/software-development/project-closure-checklist,project closure checklist  manifestly checklists,,fulltext
09-B08,09收尾,blog,,https://asana.com/resources/project-closure,project closure 8 steps  checklist to close projects 2026  asana,,fulltext
09-B09,09收尾,blog,,http://article.sapub.org/10.5923.j.mm.20170705.01.html,post project review and organizational learning a reflection of building contractors practices,,collected_not_in_20
09-B10,09收尾,blog,,https://medium.com/slalom-build/conducting-an-effective-knowledge-transfer-before-roll-off-8da9d8bd76f8,medium,,fulltext
09-B11,09收尾,blog,,https://www.pmi.org/-/media/pmi/documents/public/pdf/learning/thought-leadership/pulse/capture-value-knowledge-transfer.pdf?rev=,capturevalueknowledgetransfer ,,fulltext
09-B12,09收尾,blog,,https://osuva.uwasa.fi/bitstreams/9c4916f5-9921-4675-8719-43c5cc7a6e1b/download,understanding the impact of knowledge transfer in projects,,collected_not_in_20
09-B13,09收尾,blog,,https://www.projectmanagertemplate.com/post/project-manager-knowledge-transfer-a-crucial-process-for-success,project manager knowledge transfer a crucial process for success,,fulltext
09-B14,09收尾,blog,,https://scholarworks.waldenu.edu/cgi/viewcontent.cgi?article=8579&context=dissertations,knowledge transfer strategy implementation in contract ,,collected_not_in_20
09-B15,09收尾,blog,,https://www.pmi.org/learning/library/knowledge-transfer-project-management-offices-1468,how to facilitate the knowledge transfer,,fulltext
09-B16,09收尾,blog,,https://www.projectmanagement.com/discussion-topic/217800/managing-knowledge-transfer-in-projects--best-practices,managing knowledge transfer in projects best practices,,collected_not_in_20
09-B17,09收尾,blog,,https://shibumi.com/blog/the-importance-of-benefits-realization,the importance of benefits realization shibumi,,fulltext
09-B18,09收尾,blog,,https://www.pmi.org/learning/library/success-benefits-realization-opportunities-challenges-9272,beyond project success benefits realization opportunities and challenges,,fulltext
09-B19,09收尾,blog,,https://projectsnco.com/blog/benefits-realization-management,what is benefits realization management  projects  co,,fulltext
09-B20,09收尾,blog,,https://www.larksuite.com/library/project-management/project-management-concepts/benefit-realization,benefit realization a complete guide to managing project outcomes,,fulltext
09-B21,09收尾,blog,,https://www.pmi.org/learning/library/guidelines-successful-benefits-realization-9909,ten guidelines for successful benefits realization,,fulltext
09-B22,09收尾,blog,,https://www.epicflow.com/blog/benefits-realization-management,benefits realization management full guide with examples  epicflow,,fulltext
09-B23,09收尾,blog,,https://lucid.co/blog/benefits-realization-management,3 crucial stages of benefits realization management  lucidchart blog,,fulltext
09-B24,09收尾,blog,,https://www.linkedin.com/posts/seanwhitakerpm_the-benefit-of-benefits-realization-whether-activity-7309286338871140352-Mpp1,benefits realization why it matters  sean whitaker posted on the topic  linkedin,,fulltext
