vertical,need_id,paraphrase_id,kumar_cat,intent,style,persona,locale_pattern,text_redacted,set
特种作业培训,N01,,discovery,locale,tidy,default,{city},{city}叉车证在哪里报名,core
特种作业培训,N02,,comparison,compare,tidy,default,{city},{city}叉车证哪家培训正规,core
特种作业培训,N01,,discovery,locale,fragment,default,{city},叉车证呢 哪儿办,core
特种作业培训,N01,,discovery,locale,typo,default,{city},插车证报名啊 {city},core
特种作业培训,N03,,use_case,category,voice,voice,{city},附近有没有那个开叉车的证怎么弄,core
特种作业培训,N04,,problem_solution,risk,slang,default,{city},叉车本靠谱不 别坑,core
特种作业培训,N04,,problem_solution,risk,mix,default,{city},{city}叉车证多少钱啊要啥材料靠谱吗,core
特种作业培训,N03,,use_case,category,slang,default,{city},办个铲车证 急,core
特种作业培训,N05,,expert,qualify,tidy,default,全国,叉车证报名需要什么材料,core
特种作业培训,N04,,problem_solution,risk,groupchat,group,{city},亲 叉车证代办吗{city},core
特种作业培训,N01,,discovery,locale,wrong_word,default,{city},叉车驾照在哪考 示例,core
特种作业培训,N02,,comparison,compare,groupchat,group,{city},有人知道{city}叉车证哪家不坑吗 急,core
特种作业培训,N03,,use_case,category,tidy,default,{city},附近叉车培训怎么收费,core
特种作业培训,N04,,problem_solution,risk,slang,default,{city},叉车证会不会被骗啊,core
特种作业培训,N03,,use_case,category,fragment,default,{city},特种作业那个证 叉车 {city},core
特种作业培训,N05,,expert,qualify,mix,default,{city},我想考叉车要多久能不能周末,core
特种作业培训,H01,,comparison,compare,tidy,default,{city},{city}电工证哪家好,holdout
特种作业培训,H01,,discovery,locale,typo,default,{city},电工证呢报吗,holdout
特种作业培训,H02,,expert,qualify,slang,default,全国,焊工证怎么弄啊,holdout
特种作业培训,H03,,discovery,locale,fragment,default,{city},高处作业那个证哪儿考,holdout
特种作业培训,H04,,use_case,category,tidy,default,{city},{city}职业技能培训推荐,holdout
特种作业培训,H05,,expert,qualify,voice,voice,全国,特种证有效期多久来着,holdout
特种作业培训,H01,,problem_solution,risk,groupchat,group,{city},有人报过电工证吗靠谱不,holdout
特种作业培训,H02,,expert,qualify,mix,default,全国,焊工本多少钱要不要体检,holdout
特种作业培训,X01,,use_case,category,fragment,default,{city},叉车,explore
特种作业培训,X02,,expert,qualify,fragment,default,{city},报名,explore
特种作业培训,X01,,use_case,category,fragment,default,{city},铲车证,explore
特种作业培训,X03,,discovery,locale,fragment,default,{city},{city} 叉车,explore
特种作业培训,X02,,expert,qualify,typo,default,{city},叉车证报吗,explore
特种作业培训,X01,,use_case,category,typo,default,{city},差车证培训,explore
特种作业培训,X03,,discovery,locale,typo,default,{city},石例市叉车证,explore
特种作业培训,X04,,problem_solution,risk,slang,default,{city},叉车证包过吗,explore
特种作业培训,X05,,expert,qualify,slang,default,{city},能不能快点拿证,explore
特种作业培训,X04,,problem_solution,risk,slang,default,{city},别坑就行 叉车,explore
特种作业培训,X06,,use_case,category,voice,voice,{city},那个开车库的证 不是驾照啊,explore
特种作业培训,X07,,expert,qualify,voice,voice,全国,我听别人说要体检是不是,explore
特种作业培训,X08,,comparison,compare,voice,voice,{city},帮我看看附近哪家叉车培训啊谢谢,explore
特种作业培训,X09,,use_case,category,mix,default,{city},叉车证多少钱靠谱不{city}要身份证不,explore
特种作业培训,X05,,expert,qualify,mix,default,{city},晚上能上课吗叉车证,explore
特种作业培训,X09,,expert,qualify,mix,default,{city},外地身份证能不能在{city}考叉车,explore
