source_id,stage,kind,doi,norm_url,title_norm,year,status
06-P01,06交付,paper,10.1007/s10664-026-10827-1,https://doi.org/10.1007/s10664-026-10827-1,classifier or prompt a case study on legal requirements traceability,2026,fulltext
06-P02,06交付,paper,10.32628/cseit261210,https://doi.org/10.32628/cseit261210,an indepth survey of software testing methodologies,2026,fulltext
06-P03,06交付,paper,10.1007/s11219-026-09753-8,https://doi.org/10.1007/s11219-026-09753-8,gamification of software development verification and validation,2026,fulltext
06-P04,06交付,paper,,https://arxiv.org/abs/2607.17686,integrating highlevel requirements to lowlevel tests with machinereadable vv specifications,2026,fulltext
06-P05,06交付,paper,10.1038/s41746-025-01447-y,https://doi.org/10.1038/s41746-025-01447-y,survey and perspective on verification validation and uncertainty quantification of digital twins for precision medicine,2025,fulltext
06-P06,06交付,paper,10.1038/s41746-024-01322-2,https://doi.org/10.1038/s41746-024-01322-2,v3 extends the v3 framework to ensure usercentricity and scalability of sensorbased digital health technologies,2025,fulltext
06-P07,06交付,paper,10.1145/3767739,https://doi.org/10.1145/3767739,requirementsdriven automated software testing a systematic review,2025,fulltext
06-P08,06交付,paper,10.1007/s00170-025-15982-1,https://doi.org/10.1007/s00170-025-15982-1,digital variant design vmodel for rapid product development,2025,fulltext
06-P09,06交付,paper,10.38124/ijisrt/25sep331,https://doi.org/10.38124/ijisrt/25sep331,automated uat for regulated payment systems propertybased testing synthetic data generation and ifrsgaap revenuerecognition validation gates,2025,fulltext
06-P10,06交付,paper,10.14743/apem2025.1.532,https://doi.org/10.14743/apem2025.1.532,from zero to one a new perspective on the fuzzy front end of innovation and the stagegate model,2025,fulltext
06-P11,06交付,paper,10.48550/arxiv.2501.01224,http://arxiv.org/abs/2501.01224,test schedule generation for acceptance testing of missioncritical satellite systems,2025,fulltext
06-P12,06交付,paper,,http://arxiv.org/abs/2507.05125,automated behaviourdriven acceptance testing of robotic systems,2025,fulltext
06-P13,06交付,paper,10.32620/reks.2025.4.16,https://doi.org/10.32620/reks.2025.4.16,automating requirements traceability in project documentation using tracetrend tool model design and application,2025,fulltext
06-P14,06交付,paper,10.48550/arxiv.2504.19658,http://arxiv.org/abs/2504.19658,auxiliary artifacts in requirements traceability a systematic mapping study,2025,fulltext
06-P15,06交付,paper,10.48550/arxiv.2502.02675,http://arxiv.org/abs/2502.02675,exploring llms impact on studentcreated user stories and acceptance testing in software development,2025,fulltext
06-P16,06交付,paper,10.48550/arxiv.2506.11018,http://arxiv.org/abs/2506.11018,formation of requirements traceability in the process of information systems design,2025,fulltext
06-P17,06交付,paper,10.35940/ijmh.c1850.12031125,https://doi.org/10.35940/ijmh.c1850.12031125,integrating agile and the systems vmodel proposing a hybrid solution,2025,fulltext
06-P18,06交付,paper,10.48550/arxiv.2510.00730,http://arxiv.org/abs/2510.00730,mavenlockfile high integrity rebuild of past java releases,2025,fulltext
06-P19,06交付,paper,10.48550/arxiv.2504.15427,https://arxiv.org/abs/2504.15427,tvr automotive system requirement traceability validation and recovery through retrievalaugmented generation,2025,fulltext
06-P20,06交付,paper,10.1007/s10462-024-10824-0,https://doi.org/10.1007/s10462-024-10824-0,a survey of safety and trustworthiness of large language models through the lens of verification and validation,2024,fulltext
06-P21,06交付,paper,10.1109/access.2024.3391815,https://doi.org/10.1109/access.2024.3391815,comprehensive evaluation and insights into the use of large language models in the automation of behaviordriven development acceptance test formulation,2024,fulltext
06-P22,06交付,paper,10.1109/tai.2024.3351798,https://doi.org/10.1109/tai.2024.3351798,a survey on verification and validation testing and evaluations of neurosymbolic artificial intelligence,2024,fulltext
06-P23,06交付,paper,10.1007/s00766-023-00410-1,https://doi.org/10.1007/s00766-023-00410-1,requirements and software engineering for automotive perception systems an interview study,2024,fulltext
06-P24,06交付,paper,10.3389/frobt.2024.1346580,https://doi.org/10.3389/frobt.2024.1346580,aat4irs automated acceptance testing for industrial robotic systems,2024,fulltext
06-P25,06交付,paper,10.1016/j.heliyon.2024.e26928,https://doi.org/10.1016/j.heliyon.2024.e26928,an enhanced agile vmodel conformance to regulatory bodies and experiences from models adoption to medical device development,2024,fulltext
06-P26,06交付,paper,10.48550/arxiv.2401.02705,http://arxiv.org/abs/2401.02705,xuatcopilot multiagent collaborative system for automated user acceptance testing with large language model,2024,fulltext
06-P27,06交付,paper,10.48550/arxiv.2412.08593,http://arxiv.org/abs/2412.08593,leveraging graphrag and prompt engineering to enhance llmbased automated requirement traceability and compliance checks,2024,fulltext
06-P28,06交付,paper,10.48550/arxiv.2405.10845,http://arxiv.org/abs/2405.10845,natural language processing for requirements traceability,2024,fulltext
