source_id,stage,kind,doi,norm_url,title_norm,year,status
02-P01,02需求,paper,10.30574/wjarr.2024.22.1.1202,https://doi.org/10.30574/wjarr.2024.22.1.1202,advancements and innovations in requirements elicitation developing a comprehensive conceptual model,2024,fulltext
02-P02,02需求,paper,10.1007/s00766-023-00411-0,https://doi.org/10.1007/s00766-023-00411-0,advances in automated support for requirements engineering a systematic literature review,2024,fulltext
02-P03,02需求,paper,10.3389/fcomp.2025.1519437,https://doi.org/10.3389/fcomp.2025.1519437,research directions for using llm in software requirement engineering a systematic review,2025,fulltext
02-P04,02需求,paper,10.1007/s00766-024-00432-3,https://doi.org/10.1007/s00766-024-00432-3,how mature is requirements engineering for aibased systems a systematic mapping study on practices challenges and future research directions,2024,fulltext
02-P05,02需求,paper,10.1109/access.2024.3364533,https://doi.org/10.1109/access.2024.3364533,leveraging nlp techniques for privacy requirements engineering in user stories,2024,fulltext
02-P06,02需求,paper,10.1007/s00766-024-00423-4,https://doi.org/10.1007/s00766-024-00423-4,understanding the gdpr from a requirements engineering perspectivea systematic mapping study on regulatory data protection requirements,2024,fulltext
02-P07,02需求,paper,10.1007/s00766-023-00412-z,https://doi.org/10.1007/s00766-023-00412-z,a systematic literature review of prerequirements specification traceability,2024,fulltext
02-P08,02需求,paper,10.1007/s00766-023-00405-y,https://doi.org/10.1007/s00766-023-00405-y,requirements quality research a harmonized theory evaluation and roadmap,2023,fulltext
02-P09,02需求,paper,10.1038/s41598-024-52802-0,https://doi.org/10.1038/s41598-024-52802-0,a deep learning framework for nonfunctional requirement classification,2024,fulltext
02-P10,02需求,paper,10.1186/s44147-024-00363-4,https://doi.org/10.1186/s44147-024-00363-4,recommendation systemsbased software requirements elicitation processa systematic literature review,2024,fulltext
02-P11,02需求,paper,10.48550/arxiv.2310.13976,http://arxiv.org/abs/2310.13976,advancing requirements engineering through generative ai assessing the role of llms,2023,fulltext
02-P12,02需求,paper,10.1007/s00766-025-00451-8,https://doi.org/10.1007/s00766-025-00451-8,are prompts all you need evaluating promptbased large language models llms for software requirements classification,2025,fulltext
