stage,kind,query,reason,url_or_doi,date
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S026840121930917X,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S0268401220308082/pdf,2026-08-16
02需求,blog,requirements elicitation workshop techniques engineering,fulltext_too_short,https://www.scribd.com/document/841650625/Requirements-elicitation-and-its-techniques,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.emerald.com/insight/content/doi/10.1108/JOSM-04-2018-0119/full/pdf?title=brave-new-world-service-robots-in-the-frontline,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.mdpi.com/2624-6511/4/1/6/pdf?version=1610095098,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S1048984317307774/pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://escholarship.org/content/qt58h69717/qt58h69717.pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://doi.org/10.1016/j.tifs.2019.07.034,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,http://hdl.handle.net/10454/18111,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.mdpi.com/2071-1050/10/1/247/pdf?version=1516364088,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.mdpi.com/1420-3049/28/2/661/pdf?version=1673915749,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S004016252031218X/pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://academic.oup.com/fqs/article-pdf/4/4/167/34973772/fyaa024.pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jiec.13187,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S0048969721036111/pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S2666603022000136/pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/mar.21767,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S277323712200020X/pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1748-8583.12524,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/apps.12241,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S0019850119300999/pdf,2026-08-16
01洽谈,paper,professional selling transformation industrial marketing,pdf_download_failed_or_paywall,https://www.sciencedirect.com/science/article/pii/S0378720619303337/pdf,2026-08-16
07预算,blog,reference class forecasting project cost overrun,paywall_or_index_page,https://www.sciencedirect.com/science/article/pii/S2666721523000248,2026-08-16
01洽谈,paper,"""sales ethics"" overselling customer promises",title_abstract_not_on_topic,10.1080/14759551.2022.2157831,2026-08-16
01洽谈,paper,"""sales ethics"" overselling customer promises",title_abstract_not_on_topic,Metaphors framing the global financial crisis in Nordic banks*,2026-08-16
01洽谈,paper,"""solution selling"" product-line selection B2B",title_abstract_not_on_topic,10.1007/s40547-015-0040-5,2026-08-16
01洽谈,paper,"""solution selling"" product-line selection B2B",title_abstract_not_on_topic,10.1016/j.indmarman.2021.04.005,2026-08-16
01洽谈,paper,"""solution selling"" product-line selection B2B",title_abstract_not_on_topic,10.1016/j.indmarman.2018.06.014,2026-08-16
01洽谈,paper,"""solution selling"" product-line selection B2B",title_abstract_not_on_topic,10.1177/1094670517711586,2026-08-16
