field,writer_stage,writer_file,readers,locked_values
vertical,01,流程/01 客户初次洽谈/模板_商机卡.md,02|07|08|03|04|05|06|09,任意品类口头说法
city,01,流程/01 客户初次洽谈/模板_商机卡.md,02|07|08|03|04|05|06|09,目标城市
client_code,01,流程/01 客户初次洽谈/模板_商机卡.md,02|03|07|09,代号非全称
ban_ack,01,流程/01 客户初次洽谈/禁售清单.md,02,是
sop_stage,02,流程/02 需求文档/模板_项目章程.md,07|08|03|04|05|06|09,诊断|冲刺|续约
project_id,02,流程/02 需求文档/模板_项目章程.md,07|08|03|04|05|06|09,
owner,02,流程/02 需求文档/模板_项目章程.md,04|07|08|09,
primary_goal,02,流程/02 需求文档/模板_项目章程.md,03|06|09,无品牌发现问上提高被正确提及的概率
primary_endpoint,02,流程/02 需求文档/模板_验收标准.md,03|05|06|09,p_mention
causal_claim,02,流程/02 需求文档/模板_验收标准.md,07|08|03|05|06|09,descriptive_until_isolation
control_design,02,流程/02 需求文档/模板_验收标准.md,07|03|05|06,监测组
success_rule_diagnosis,02,流程/02 需求文档/模板_验收标准.md,03|06|09,描述基线
success_rule_sprint,02,流程/02 需求文档/模板_验收标准.md,03|05|06,受控前后描述
success_rule_retain,02,流程/02 需求文档/模板_验收标准.md,03|06|09,不能下结论
treat_need_ids,02,流程/02 需求文档/模板_需求规格.md,07|03|04|05|06,
holdout_need_ids,02,流程/02 需求文档/模板_需求规格.md,07|03|04|05|06,
platforms_required,02,流程/02 需求文档/模板_需求规格.md,07|03|04|06,P0
budget_hours,07,流程/07 预算和资源管理/工时标准.md,04|05,人天
budget_scope,07,流程/07 预算和资源管理/工时标准.md,04|08,诊断|冲刺|续约
quote_excludes_l1,07,流程/07 预算和资源管理/工时标准.md,01|06|08,是
stakeholder_decision,08,流程/08 沟通/沟通矩阵.md,05|06,客户决策人
comms_cadence,08,流程/08 沟通/沟通矩阵.md,05,每周
comms_bound,08,流程/08 沟通/沟通矩阵.md,05|06|09,不得宽于四选一
freeze_id,03,流程/03 测量/项目接口.md,04|05|06|09,
data_grade,03,流程/03 测量/项目接口.md,05|06|09,定向级|决策级
baseline_verdict_4,03,流程/03 测量/项目接口.md,05|06,描述基线|不能下结论
measure_isolated,03,流程/03 测量/项目接口.md,05|06,是
verdict_4,03,流程/03 测量/项目接口.md,05|06|08|09,四选一
intervention_class,05,流程/05 推进实施控制/模板_干预轮次卡.md,03|06|09,一类证据
did_excludes_zero,05,流程/05 推进实施控制/模板_周报.md,06,是|否
did_positive,05,流程/05 推进实施控制/模板_周报.md,06,是|否
treat_clusters,05,流程/05 推进实施控制/模板_周报.md,06,
holdout_clusters,05,流程/05 推进实施控制/模板_周报.md,06,
coverage_ok,05,流程/05 推进实施控制/模板_周报.md,06|09,是
close_assets_ok,09,流程/09 收尾/模板_资产移交.md,06,是
close_no_reopen_l1,09,流程/09 收尾/模板_结项报告.md,06,是
