source_id,stage,kind,doi,norm_url,title_norm,year,status
01-P03,01洽谈,paper,10.1016/j.indmarman.2023.08.007,https://doi.org/10.1016/j.indmarman.2023.08.007,buying center-selling center interaction as a driver for power dynamics in buyer-supplier relationships,2023,fulltext
01-P07,01洽谈,paper,10.60087/jaigs.vol03.issue01.p102,http://dx.doi.org/10.60087/jaigs.vol03.issue01.p102,the impact of technology on sales performance in b2b companies,2024,fulltext
01-P09,01洽谈,paper,10.1080/08853134.2025.2502168,https://doi.org/10.1080/08853134.2025.2502168,selling and sales management for successful servitization: a systematic review and research agenda,2025,fulltext
01-P11,01洽谈,paper,10.1016/j.indmarman.2024.08.011,https://doi.org/10.1016/j.indmarman.2024.08.011,"customer success managers' involvement in sales: taxonomy, frictions, and implications",2024,fulltext
01-P12,01洽谈,paper,10.1007/s12144-024-06720-z,https://doi.org/10.1007/s12144-024-06720-z,don’t put all the eggs in one basket: examining adaptive selling behavior in salespeople’s performance,2024,fulltext
01-P14,01洽谈,paper,10.4102/sajems.v26i1.4923,https://doi.org/10.4102/sajems.v26i1.4923,business-to-business sellers’ motivations in sales performance – a six-dimensional framework proposition,2023,fulltext
01-P16,01洽谈,paper,10.15276/etr.01.2025.5,https://doi.org/10.15276/etr.01.2025.5,successful personal selling as an indicator of professional activity effectiveness of an architectural and construction company manager in the context of marketing complex transformation,2025,fulltext
01-P17,01洽谈,paper,10.1007/s11301-024-00424-1,https://doi.org/10.1007/s11301-024-00424-1,bidding for b2b or b2g tenders: toward the adoption of pricing models in practice,2024,fulltext
01-P19,01洽谈,paper,10.1371/journal.pone.0355359,https://doi.org/10.1371/journal.pone.0355359,triadic capabilities of sales personnel in power generation enterprises under china’s electricity market reform: generation and evolution mechanisms,2026,fulltext
01-P21,01洽谈,paper,10.36948/ijfmr.2025.v07i03.48943,https://doi.org/10.36948/ijfmr.2025.v07i03.48943,the zoomification effect: how virtual selling is costing enterprise deals 23% in value—and the neuroscience behind why handshakes still matter,2025,fulltext
01-P22,01洽谈,paper,10.30574/wjaets.2026.20.1.0363,https://doi.org/10.30574/wjaets.2026.20.1.0363,from voice-of-field to product strategy: operationalizing sales feedback loops in ai product go-to-market systems,2026,fulltext
01-P24,01洽谈,paper,10.1080/08853134.2024.2305496,https://doi.org/10.1080/08853134.2024.2305496,in search of digital solution sellers: the role of non-monetary motivation and empowering leadership behaviors,2024,fulltext
01-P25,01洽谈,paper,10.33215/tkjsnk96,https://doi.org/10.33215/tkjsnk96,insurance companies’ salesperson lead qualification skills and salesperson’s performance: mediating role of salesperson’s adaptive selling behavior,2024,fulltext
01-P26,01洽谈,paper,10.21325/jotags.2024.1408,https://doi.org/10.21325/jotags.2024.1408,adaptive selling behavior and salesperson performance in the ugandan insurance industry: an empirical study,2024,fulltext
01-P27,01洽谈,paper,10.1007/s11747-025-01096-3,https://doi.org/10.1007/s11747-025-01096-3,"the past, present, and future of adaptive selling: toward an integrative framework",2025,fulltext
01-P28,01洽谈,paper,10.1016/j.jbusres.2023.114441,https://doi.org/10.1016/j.jbusres.2023.114441,managerial latitude and adaptive selling: important roles of salesperson perceived control and work centrality,2023,fulltext
01-P29,01洽谈,paper,10.3389/frai.2025.1554325,https://doi.org/10.3389/frai.2025.1554325,the relevance of lead prioritization: a b2b lead scoring model based on machine learning,2025,fulltext
01-P31,01洽谈,paper,10.1016/j.iedeen.2023.100235,https://doi.org/10.1016/j.iedeen.2023.100235,proposing a sales performance motivational framework for b2b sellers in services firms,2024,fulltext
01-P32,01洽谈,paper,10.5295/cdg.242260gb,https://doi.org/10.5295/cdg.242260gb,"salesperson ambidexterity, firm capabilities, and value co-creation: key factors in salespeople’s innovative service behavior?",2025,fulltext
01-P33,01洽谈,paper,10.62754/joe.v3i7.4703,https://doi.org/10.62754/joe.v3i7.4703,the impact of effective coaching on sales performance mediated by the role of soft skills in the tourism industry,2024,fulltext
01-P34,01洽谈,paper,10.32479/irmm.17774,https://doi.org/10.32479/irmm.17774,the impact of ai-driven strategy on salespeople training and performance,2025,fulltext
01-P35,01洽谈,paper,10.1007/s11747-023-00964-0,https://doi.org/10.1007/s11747-023-00964-0,leveraging b2b field service technicians as a “second sales force”: how service situations affect selling activity and success,2023,fulltext
01-P36,01洽谈,paper,10.1016/j.indmarman.2024.01.014,https://doi.org/10.1016/j.indmarman.2024.01.014,"subscription offers in business-to-business markets: conceptualization, taxonomy, and framework for growth",2024,fulltext
01-P37,01洽谈,paper,10.1016/j.technovation.2025.103351,https://doi.org/10.1016/j.technovation.2025.103351,harnessing customer demands for service innovation in business-to-business sales: evidence from the turkish hvac industry,2025,fulltext
01-P38,01洽谈,paper,10.1016/j.techfore.2025.124459,https://doi.org/10.1016/j.techfore.2025.124459,from sales exaptation to digital transformation: value creation from remote selling,2025,fulltext
01-P39,01洽谈,paper,10.1016/j.indmarman.2023.08.006,https://doi.org/10.1016/j.indmarman.2023.08.006,tensions in value spaces: the organizational buying center and advanced services,2023,fulltext
01-P41,01洽谈,paper,10.1108/ejm-01-2023-0018,https://doi.org/10.1108/ejm-01-2023-0018,"money, recognition, challenge and enjoyment: a response surface approach to salesperson motivation",2025,fulltext
01-P42,01洽谈,paper,10.61838/kman.jrmde.3.4.6,https://doi.org/10.61838/kman.jrmde.3.4.6,the impact of emotional intelligence on salesperson behavior and perceived service quality,2024,fulltext
01-P43,01洽谈,paper,10.1080/08853134.2024.2357369,https://doi.org/10.1080/08853134.2024.2357369,linking sales force integration into npd to salesperson retention: toward a systematic framework,2024,fulltext
01-P46,01洽谈,paper,10.26668/businessreview/2024.v9i3.4015,https://doi.org/10.26668/businessreview/2024.v9i3.4015,exploring the influence of transformational leadership on salesperson job performance: the mediating roles of self-efficacy and creativity in vietnamese smes,2024,fulltext
01-B01,01洽谈,blog,,https://blog.sellible.ai/discovery-call-playbook-for-b2b-sales,discovery call playbook for b2b sales | complete guide,,fulltext
01-B03,01洽谈,blog,,https://www.sifthub.io/blog/sales-discovery-questions,"ask better, sell smarter: the discovery questions that win b2b sales",,fulltext
01-B04,01洽谈,blog,,https://upliftsales.com.au/blog/b2b-sales-discovery-questions,b2b sales discovery questions: 50+ by stage & persona,,fulltext
01-B05,01洽谈,blog,,https://www.avoma.com/blog/discovery-call,discovery call playbook + 90 downloadable questions,,fulltext
01-B06,01洽谈,blog,,https://leanb2bbook.com/blog/b2b-customer-discovery-interview-questions-the-master-list,b2b customer discovery interview questions for b2b entrepreneurs,,fulltext
01-B07,01洽谈,blog,,https://www.highspot.com/blog/discovery-call-questions,20 sales discovery questions to better qualify leads,,fulltext
01-B09,01洽谈,blog,,https://www.saber.app/blog/sales-qualification-frameworks-comparison,​sales qualification frameworks: bant vs meddic vs spin vs challenger sale · saber,,fulltext
01-B10,01洽谈,blog,,https://www.sybill.ai/blogs/bant-vs-meddic,bant vs meddic: which sales qualification framework wins?,,fulltext
01-B11,01洽谈,blog,,https://salesmotion.io/blog/lead-qualification-framework-guide,the complete lead qualification framework guide for b2b sales | salesmotion,,fulltext
01-B12,01洽谈,blog,,https://www.prolifiq.com/post/bant-vs-meddic,bant vs meddic: which sales qualification wins in 2024 | prolifiq,,fulltext
01-B13,01洽谈,blog,,https://www.linkedin.com/pulse/b2b-opportunity-qualification-beyond-bant-meddic-impacct-bob-apollo-ynype,b2b opportunity qualification: beyond bant and meddic to impacct,,fulltext
01-B14,01洽谈,blog,,https://www.salesforce.com/blog/sales/bant-vs-meddic,bant vs. meddic: comparing sales methodologies | salesforce,,fulltext
01-B15,01洽谈,blog,,https://meddicc.com/resources/meddicc-versus-other-qualification-frameworks-like-bant,meddicc vs other qualification frameworks like bant - meddicc,,fulltext
01-B17,01洽谈,blog,,https://mailchimp.com/resources/consultative-selling,consultative selling: strategies for success | mailchimp,,fulltext
01-B18,01洽谈,blog,,https://www.highspot.com/blog/consultative-selling-techniques,consultative selling: techniques to close more deals,,fulltext
01-B19,01洽谈,blog,,https://www.gong.io/blog/consultative-selling,enhancing sales with consultative selling techniques | gong,,fulltext
01-B20,01洽谈,blog,,https://www.simon-kucher.com/en/insights/consultative-selling-building-trust-and-driving-success,"consultative selling: definition, principles & strategies",,fulltext
01-B21,01洽谈,blog,,https://www.mindtickle.com/blog/the-complete-guide-to-closing-more-deals-using-consultative-selling,the complete guide to consultative selling | mindtickle,,fulltext
01-B22,01洽谈,blog,,https://www.mtdsalestraining.com/mtdblog/consultative-sales-approach.html,what does the consultative sales approach mean? | mtd sales training,,fulltext
01-B24,01洽谈,blog,,https://www.salesforce.com/blog/sales/consultative-sales-approach,what is consultative sales? 5 guiding principles | salesforce,,fulltext
01-S01,01洽谈,standard,,https://www.iso.org/standard/62085.html,"iso 9001:2015 quality management systems — requirements, clause 8.2 requirements for products and services",2015,official_abstract_only
01-S02,01洽谈,standard,,https://www.iso.org/standard/63501.html,iso 20700:2017 guidelines for management consultancy services,2017,official_abstract_only
01-S03,01洽谈,standard,,https://www.iso.org/standard/74947.html,"iso 21502:2020 project, programme and portfolio management — guidance on project management",2020,official_abstract_only
01-S04,01洽谈,standard,,https://www.pmi.org/pmbok-guide-standards/foundational/pmbok,a guide to the project management body of knowledge (pmbok® guide) – seventh edition and the standard for project management,2021,official_abstract_only
01-S05,01洽谈,standard,,https://www.pmi.org/about/ethics/code,pmi code of ethics and professional conduct,2006,official_html
01-S06,01洽谈,standard,,https://www.iso.org/standard/72798.html,iso 44001:2017 collaborative business relationship management systems — requirements and framework,2017,official_abstract_only
01-S07,01洽谈,standard,,https://www.ieee.org/about/corporate/governance/p7-8.html,ieee code of ethics,2020,official_html
