stage,kind,query,reason,url_or_doi,date
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.32388/wzh8ga.2,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.1108/sasbe-10-2024-0419,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.26668/businessreview/2023.v8i12.4987,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.55248/gengpi.6.0325.1295,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.32388/wzh8ga,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.51594/ijmer.v7i6.1941,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.71145/rjsp.v3i2.288,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.63345/ijrmp.v14.i8.2,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.26565/2524-2547-2026-73-11,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.31375/2226-1915-2025-1-7-22,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.2139/ssrn.4729221,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,Risk assessment of international innovation projects,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.32347/2412-9933.2025.64.14-22,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.37332/2309-1533.2026.2.22,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.1016/j.rineng.2024.102643,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.22214/ijraset.2025.74597,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.5281/zenodo.19591140,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.56975/ijcrt.v12i7.282076,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.3390/su151813384,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.35629/8193-1008116119,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.24887/0028-2448-2025-11-64-71,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.54660/.ijmrge.2025.6.6.1434-1451,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.53920/es-2023-4-5,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.56726/irjmets6644,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.35854/1998-1627-2023-9-1004-1018,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.32752/1993-6788-2025-1-285-356-366,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.56726/irjmets81659,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.52058/2708-7530-2025-11(65)-990-1001,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.52058/2786-6025-2025-10(51)-1654-1669,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.21275/sr26201054025,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.37745/ejcsit.2013/vol13n51844,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,"New objectives, same rationales: shifts in the United Kingdom’s industrial strategies?",2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,10.3390/asi9030054,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,Creative economy: factors of effectiveness,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,Business process management on the basis of compliance control,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,Formation of an educational institution&apos;s brand,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,Formation of effects of technology commercialization,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,Intellectual property as a component of product competitiveness,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,The legal mechanism of intellectual property in Ukraine,2026-08-16
04计划,paper,"""rolling wave planning"" project",title_abstract_not_on_topic,Innovations in the educational services market,2026-08-16
