stage,kind,query,reason,url_or_doi,date
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1177/00222429251338820,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1108/ebr-03-2023-0089,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1080/08853134.2023.2250561,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2024.01.004,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2024.03.003,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2024.11.014,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1177/21582440251318464,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1080/08853134.2023.2244675,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1108/jbim-12-2023-0714,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1080/08853134.2023.2289698,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1177/03128962231197829,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1108/jbim-03-2023-0157,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.jbusres.2026.116386,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2026.07.004,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2026.01.009,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.jengtecman.2024.101846,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2023.11.006,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1002/arcp.1092,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.jretconser.2023.103640,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2024.05.010,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.3390/bs15050617,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1080/23311975.2024.2438944,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1016/j.indmarman.2023.09.006,2026-08-16
01洽谈,paper,curated,pdf_download_failed_or_paywall,10.1108/jbim-08-2022-0366,2026-08-16
01洽谈,paper,post_filter,retracted_or_off_topic_rural_ecommerce,10.1007/s13132-024-01813-3,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_covid_resilience,10.1186/s13731-023-00345-5,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_omnichannel_wom,10.1108/imr-09-2022-0203,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_sme_digital_marketing,10.1007/s43621-025-01228-3,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_agri_sales,10.3389/fsufs.2023.1297732,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_social_media_marketing,10.1108/imr-06-2023-0124,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_electronic_marketing,10.62754/joe.v3i4.3480,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_airbnb,10.1007/s11609-024-00542-3,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_agro_content,10.57239/pjlss-2024-22.2.00787,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_b2g_environment,10.63029/hmysj435,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_or_no_doi,Dual technology adoption,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_polygenic_telemarketing,10.66033/jmpr2024-110,2026-08-16
01洽谈,paper,post_filter,adjacent_not_selected_gender_salesforce,10.1007/s11747-023-00988-6,2026-08-16
01洽谈,paper,post_filter,adjacent_not_selected_resource_support,10.1016/j.indmarman.2024.07.002,2026-08-16
01洽谈,paper,post_filter,adjacent_not_selected_banking_antecedents,10.30880/jtmb.2023.10.02.005,2026-08-16
01洽谈,paper,post_filter,title_abstract_not_on_topic_beauty_retail,10.20402/ajbc.2023.0060,2026-08-16
01洽谈,paper,post_filter,adjacent_not_selected_meaning_performance,10.47067/ramss.v8i1.464,2026-08-16
01洽谈,blog,B2B sales discovery interview questions official playbook,not_in_top20_duplicate_or_thin,https://elefanterevops.com/blog/b2b-sales-playbook,2026-08-16
01洽谈,blog,B2B sales discovery interview questions official playbook,not_in_top20_duplicate_or_thin,https://www.linkedin.com/posts/samsalesli_samsales-perfectdiscoverycall-activity-7391589894470643712-pkes,2026-08-16
01洽谈,blog,MEDDIC BANT opportunity qualification disqualify deal,not_in_top20_duplicate_or_thin,https://www.linkedin.com/top-content/sales/common-sales-mistakes/common-challenges-with-bant-and-meddic-sales-frameworks,2026-08-16
01洽谈,blog,consultative selling do not overpromise product fit,not_in_top20_duplicate_or_thin,https://www.infoprolearning.com/blog/mastering-the-art-of-consultative-selling-techniques-that-drive-real-results,2026-08-16
01洽谈,paper,gold_oa_retry,pdf_download_failed_or_paywall,10.1080/23311975.2024.2417745,2026-08-16
01洽谈,paper,gold_oa_retry,pdf_download_failed_or_paywall,10.1016/j.heliyon.2024.e27017,2026-08-16
01洽谈,paper,gold_oa_retry,pdf_download_failed_or_paywall,10.3390/su17198595,2026-08-16
01洽谈,paper,gold_oa_retry,pdf_download_failed_or_paywall,10.3390/economies13040101,2026-08-16
01洽谈,paper,gold_oa_retry,pdf_download_failed_or_paywall,10.3390/languages9100316,2026-08-16
01洽谈,paper,gold_oa_retry,pdf_download_failed_or_paywall,10.5281/zenodo.8268267,2026-08-16
01洽谈,paper,gold_oa_retry,pdf_download_failed_or_paywall,10.1016/j.iedeen.2025.100278,2026-08-16
