clause,stage,already_in_core_contract,independent_mid_high_evidence,standard_or_contract,directness,hard_gate_ok,note
treat_holdout_disjoint,02,是,02 追踪/互斥文献 + IEEE 29148,核心合同+IEEE29148,同构迁移+规范性,是,原则已在 02 规格中；硬检求交为空
quote_excludes_l1,07,是,规划谬误/独特性偏见两篇以上 + 禁售清单,核心合同+禁售,同构迁移+规范性,是,排除 L1 原已是战略
diagnosis_no_intervention,07/05,是,既有 AGENT + APM 变更定义,核心合同,规范性,是,产品线骨架原已锁定
comms_bound,08,是,IAP2/PRINCE2 + 映射,核心合同,规范性,是,不得宽于四选一原已锁定
comms_api_not_primary,08,是（G7 原文）,PRINCE2 指导层+权力利益,核心合同,同构迁移+规范性,是,原 G7 句子，不是新发明
plan_hours_le_budget,04,部分（人天不超过07）,WBS/EVM 对齐是同构；不等式是内部一致性,核心合同人天约束,内部一致性,是,不依赖施工工期数字
G2_name_not_G2prime,04,是（引擎本就 G2）,文档漂移修正,核心合同,规范性,是,改名不是新科学主张
sprint_verdict_from_retest,05,是,既有引擎逻辑,核心合同,规范性,是,研究只补理由
holdout_untouched,05,是（监测组未改页）,holdout 工程文多为商业经验,核心合同+实验工程,同构迁移+商业经验,是,与原 G5 同构
intervention_need_ids_subset,05,部分,需求追踪直接性较高,02字段所有权,直接到字段,是,属于 02 集合约束
wait_days_numeric,05,否,等待天数无 GEO 直接试验,无,同构迁移,否,只许记录完成日与等待已满；禁止把 6–12 月等写成定额
delivery_case_path,06,是（案件出数目录）,IEEE 828/质量门,核心合同+IEEE,规范性,是,禁止共享目录当交付
delivery_manifest_checksum,06,部分（冻结已有 checksum）,供应链完整性多为同构,IEEE828/NIST,同构迁移+规范性,是,与现有冻结校验和纪律一致
delivery_accepted,06,是（人接收/拒收）,ISO 12207 接收是合同行为,核心合同,规范性,是
close_no_reopen_l1,09,是,收益实现≠重新验收,核心合同+ISO21502,规范性,是
close_manifest_board_archive,09,部分（G8 已查清单/中转）,关项对照是规范性,核心合同+ISO21502,规范性,是
new_numeric_thresholds_from_construction_or_cocomo,04/05/07,否,他行业数字,无,同构迁移,否,不得进硬门禁
vendor_percentages,all,否,商业经验,无,商业经验,否,已拒绝
