stage,id,host,url,blog_grade,quality,in_core_quota
01洽谈,01-B01,blog.sellible.ai,https://blog.sellible.ai/discovery-call-playbook-for-b2b-sales,,medium,是
01洽谈,01-B03,sifthub.io,https://www.sifthub.io/blog/sales-discovery-questions,,medium,是
01洽谈,01-B04,upliftsales.com.au,https://upliftsales.com.au/blog/b2b-sales-discovery-questions,,medium,是
01洽谈,01-B05,avoma.com,https://www.avoma.com/blog/discovery-call,,medium,是
01洽谈,01-B06,leanb2bbook.com,https://leanb2bbook.com/blog/b2b-customer-discovery-interview-questions-the-master-list,,medium,是
01洽谈,01-B07,highspot.com,https://www.highspot.com/blog/discovery-call-questions,,medium,是
01洽谈,01-B09,saber.app,https://www.saber.app/blog/sales-qualification-frameworks-comparison,,medium,是
01洽谈,01-B10,sybill.ai,https://www.sybill.ai/blogs/bant-vs-meddic,,medium,是
01洽谈,01-B11,salesmotion.io,https://salesmotion.io/blog/lead-qualification-framework-guide,,medium,是
01洽谈,01-B12,prolifiq.com,https://www.prolifiq.com/post/bant-vs-meddic,,medium,是
01洽谈,01-B14,salesforce.com,https://www.salesforce.com/blog/sales/bant-vs-meddic,,medium,是
01洽谈,01-B15,meddicc.com,https://meddicc.com/resources/meddicc-versus-other-qualification-frameworks-like-bant,,medium,是
01洽谈,01-B17,mailchimp.com,https://mailchimp.com/resources/consultative-selling,,medium,是
01洽谈,01-B18,highspot.com,https://www.highspot.com/blog/consultative-selling-techniques,,medium,是
01洽谈,01-B19,gong.io,https://www.gong.io/blog/consultative-selling,,medium,是
01洽谈,01-B20,simon-kucher.com,https://www.simon-kucher.com/en/insights/consultative-selling-building-trust-and-driving-success,,medium,是
01洽谈,01-B21,mindtickle.com,https://www.mindtickle.com/blog/the-complete-guide-to-closing-more-deals-using-consultative-selling,,medium,是
01洽谈,01-B22,mtdsalestraining.com,https://www.mtdsalestraining.com/mtdblog/consultative-sales-approach.html,,medium,是
01洽谈,01-B24,salesforce.com,https://www.salesforce.com/blog/sales/consultative-sales-approach,,medium,是
01洽谈,01-B25,gov.uk,https://www.gov.uk/service-manual/agile-delivery/how-the-discovery-phase-works,official,medium,是
02需求,02-B01,institutedata.com,https://www.institutedata.com/us/blog/requirement-elicitation-techniques-in-software-engineering,professional,medium,是
02需求,02-B02,testbytes.net,https://www.testbytes.net/blog/requirements-elicitation,professional,medium,是
02需求,02-B03,re-magazine.ireb.org,https://re-magazine.ireb.org/articles/requirements-elicitation-in-modern-product-discovery,professional,medium,是
02需求,02-B04,web.eecs.umich.edu,https://web.eecs.umich.edu/~weimerw/2022-481W/readings/requirements.pdf,professional,medium,是
02需求,02-B05,6sigma.us,https://www.6sigma.us/six-sigma-in-focus/requirements-traceability-matrix-rtm,professional,medium,是
