﻿channel,platform,product,tier,active,store_name,mau_2026_06,has_equiv_api,api_channel,product_mode_note,why
app_doubao,doubao,豆包,P0,1,豆包,3.82亿,1,api_doubao_search,标准与深度搜索禁止混报,QM综合助手断层第一，金标准
app_tongyi,tongyi,通义千问,P0,1,通义千问,1.67亿,1,api_qwen_search,记是否强制联网,QM第二，增速最高
app_deepseek,deepseek,DeepSeek,P0,1,DeepSeek,1.30亿,1,api_deepseek_search,网页/API≠App，必须冷问App,QM第三，原方案误标为选测
app_yuanbao,yuanbao,腾讯元宝,P0,1,腾讯元宝,0.50亿,0,,记混元/R1与联网；无官方等价API,QM第四，微信生态入口
app_kimi,kimi,Kimi,P1,0,Kimi,0.07亿,0,,默认标准对话,标准档再打开
app_wenxiaoyan,wenxiaoyan,文小言,P1,0,文小言,未进QM原生TOP10,0,,百度系，搜索分发仍强,标准档再打开
app_qingyan,qingyan,智谱清言,P1,0,智谱清言,未进QM原生TOP10,0,,默认标准对话,标准档再打开
app_spark,spark,讯飞星火,P2,0,讯飞星火,,0,,轮换月才active=1,语音/属地场景选测
app_nami,nami,纳米AI,P2,0,纳米AI,,0,,轮换月才active=1,360系选测
app_quark,quark,夸克,P2,0,夸克,,0,,搜索产品，单独成簇,不要和对话助手平均
