stage,kind,query,reason,url_or_doi,date
08沟通,paper,"""stakeholder communication"" project",fulltext_but_off_topic_or_not_in_close_read,10.1007/s11252-024-01558-6,2026-08-16
08沟通,paper,"""stakeholder communication"" project",fulltext_but_off_topic_or_not_in_close_read,10.30574/wjarr.2024.23.3.2794,2026-08-16
08沟通,paper,"""stakeholder communication"" project",fulltext_but_off_topic_or_not_in_close_read,10.54254/2755-2721/72/20240986,2026-08-16
08沟通,paper,recover,fulltext_but_off_topic_or_not_in_close_read,10.1016/j.envsci.2023.103624,2026-08-16
08沟通,paper,"""communication plan"" stakeholder project",fulltext_but_off_topic_or_not_in_close_read,10.1186/s40900-023-00517-3,2026-08-16
08沟通,paper,"""virtual team"" communication project performance",fulltext_but_off_topic_or_not_in_close_read,10.31893/multirev.2024066,2026-08-16
08沟通,paper,"""meeting minutes"" project decision",fulltext_but_off_topic_or_not_in_close_read,10.3389/fmed.2023.1249503,2026-08-16
08沟通,paper,"""stakeholder mapping"" project communication",fulltext_but_off_topic_or_not_in_close_read,10.3389/fpubh.2025.1453470,2026-08-16
08沟通,paper,"""project communication"" stakeholder engagement",fulltext_but_off_topic_or_not_in_close_read,10.4186/ej.2024.28.8.79,2026-08-16
08沟通,blog,project stakeholder analysis communication matrix,video_page_or_too_short_or_linkedin_post,https://www.youtube.com/watch?v=Vum25ySRYJg&vl=en,2026-08-16
08沟通,blog,project stakeholder analysis communication matrix,video_page_or_too_short_or_linkedin_post,https://tools4dev.org/resources/stakeholder-analysis-matrix-template,2026-08-16
08沟通,blog,RACI decision rights escalation path project,video_page_or_too_short_or_linkedin_post,https://www.linkedin.com/posts/project-management-info_projectmanagement-raci-leadership-activity-7452074180579237888-qzyV,2026-08-16
