source_id,stage,kind,doi,norm_url,title_norm,year,status
08-B01,08沟通,blog,,https://www.6sigma.us/project-management/stakeholder-analysis-matrix,your guide to stakeholder analysis matrix master project management  sixsigmaus,,fulltext
08-B02,08沟通,blog,,https://simplystakeholders.com/stakeholder-communication-matrix,how to create a stakeholder communication matrix,,fulltext
08-B03,08沟通,blog,,https://www.projectmanager.com/blog/stakeholder-matrix,stakeholder matrix a quick guide with free templates,,fulltext
08-B04,08沟通,blog,,https://purplegriffon.com/blog/stakeholder-analysis-template,stakeholder analysis template  purple griffon,,fulltext
08-B06,08沟通,blog,,https://asana.com/resources/project-stakeholder,project stakeholder definition analysis  mapping 2026  asana,,fulltext
08-B07,08沟通,blog,,https://www.projectmanager.com/blog/stakeholder-collaboration-and-communication,stakeholder collaboration  communication in project management  projectmanager,,fulltext
08-B09,08沟通,blog,,https://plprojects.co.uk/raci-matrix-project-management-accountability,raci matrix project management clear accountability guide,,fulltext
08-B10,08沟通,blog,,https://www.itonics-innovation.com/blog/partner-governance,partner governance decision rights raci and program management,,fulltext
08-B11,08沟通,blog,,https://www.projectmanager.com/blog/escalation-matrix,escalation matrix howto guide with example  free template  projectmanager,,fulltext
08-B12,08沟通,blog,,https://www.invensislearning.com/blog/raci-matrix-in-project-management,raci matrix in project management a stepbystep guide,,fulltext
08-B13,08沟通,blog,,https://plane.so/blog/raci-charts-definition-benefits-and-examples,raci charts definition benefits and examples  plane blog,,fulltext
08-B15,08沟通,blog,,https://instituteprojectmanagement.com/blog/what-is-the-responsibility-assignment-matrix,what is a raci matrix responsibility assignment matrix explained,,fulltext
08-B16,08沟通,blog,,https://plane.so/blog/project-escalation-procedures-when-and-how-to-escalate-issues,project escalation procedures when and how to escalate issues  plane blog,,fulltext
08-B17,08沟通,blog,,https://www.pmi.org/blog/run-an-effective-status-meeting,how to run an effective status meeting  pmi,,fulltext
08-B18,08沟通,blog,,https://www.projectmanager.com/blog/project-decision-log,how to use a decision log for optimal results for your project,,fulltext
08-B19,08沟通,blog,,https://monday.com/blog/project-management/decision-log,decision log build a system for better decision tracking 2026,,fulltext
08-B20,08沟通,blog,,https://pm.stackexchange.com/questions/1430/how-should-a-project-manager-capture-decisions,communication  how should a project manager capture decisions  project management stack exchange,,fulltext
08-B21,08沟通,blog,,https://www.projectmanagertemplate.com/post/decision-logs-the-ultimate-guide,decision logs the ultimate guide,,fulltext
08-B22,08沟通,blog,,https://www.teamgantt.com/blog/project-status-meetings,how to run productive status meetings for every audience,,fulltext
08-B24,08沟通,blog,,https://plane.so/blog/decision-log-what-it-is-why-teams-use-it-and-template,decision log what it is why teams use it and template  plane blog,,fulltext
08-P01,08沟通,paper,10.53294/ijfstr.2024.7.2.0047,https://doi.org/10.53294/ijfstr.2024.7.2.0047,stakeholder communication framework for successful implementation of communitybased renewable energy projects,2024,fulltext
08-P02,08沟通,paper,10.47233/jsit.v5i2.3382,https://doi.org/10.47233/jsit.v5i2.3382,manajemen komunikasi proyek pada proyek infrastruktur teknologi informasi,2025,fulltext
08-P03,08沟通,paper,10.56726/irjmets16992,https://doi.org/10.56726/irjmets16992,conflict management in crossfunctional tech teams best practices and lessons learned from the healthcare sector,2024,fulltext
08-P04,08沟通,paper,10.32628/ijsrst52310373,https://doi.org/10.32628/ijsrst52310373,advances in project stakeholder communication and transparency using cloud collaboration platforms,2024,fulltext
08-P05,08沟通,paper,10.1007/s44268-025-00076-4,https://doi.org/10.1007/s44268-025-00076-4,financial and operational effects of cost estimation inaccuracy material price volatility and payment delays in nigerian construction projects,2025,fulltext
08-P06,08沟通,paper,10.11113/jm.v47.471,https://doi.org/10.11113/jm.v47.471,an analysis of the impact of procurement and communication management on the performance of construction projects in nigeria,2024,fulltext
08-P07,08沟通,paper,10.35808/ersj/3746,https://doi.org/10.35808/ersj/3746,communication in project team management  identification of research gaps and direction for future research,2024,fulltext
08-P08,08沟通,paper,10.5281/zenodo.19282693,https://dergipark.org.tr/en/pub/ijasos/article/1819977,beyond the blueprint a multistakeholder analysis of the perceived benefits and limitations of adaptive management in international development  a case study of christian aid in sierra leone,2026,fulltext
08-P09,08沟通,paper,10.38124/ijisrt/25may113,https://doi.org/10.38124/ijisrt/25may113,effect of stakeholders participation on performance of poverty alleviation coalition pac project in rwanda a case of caritas rwanda in nyabiheke refugee camp from gatsibo district,2025,fulltext
08-P10,08沟通,paper,10.36750/2524-2555.81.60-69,https://doi.org/10.36750/2524-2555.81.60-69,theoretical foundations of stakeholder clustering in the context of construction project management,2025,fulltext
