stage,kind,query,reason,url_or_doi,date
09收尾,paper,openalex_loose,off_domain_lessons,10.1007/s10994-024-06585-0,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.2196/53576,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.1007/s10113-024-02198-4,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.1186/s41182-024-00678-1,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.1007/s40265-024-02043-2,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.1007/s10518-024-02092-8,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.1109/ojpel.2023.3343167,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.14573/altex.2403061,2026-08-16
09收尾,paper,openalex_loose,off_domain_lessons,10.38124/ijisrt/ijisrt24apr2344,2026-08-16
09收尾,paper,openalex_loose,knowledge_distillation_not_pm,10.1109/tpami.2024.3354928,2026-08-16
09收尾,paper,openalex_loose,single_cell_not_pm,10.1038/s41587-023-02040-y,2026-08-16
09收尾,paper,openalex_loose,hri_not_pm,10.1007/s10458-024-09653-w,2026-08-16
09收尾,paper,curated,no_fulltext_paywall,10.1108/ecam-11-2023-1161,2026-08-16
09收尾,paper,curated,no_fulltext_paywall,10.1016/j.ijproman.2024.102574,2026-08-16
09收尾,paper,curated,no_fulltext_paywall,10.1016/j.ijproman.2025.102789,2026-08-16
09收尾,paper,curated,no_fulltext_paywall,10.1016/j.ijproman.2024.102648,2026-08-16
09收尾,paper,curated,no_fulltext_paywall,10.1080/09537287.2026.2631719,2026-08-16
09收尾,paper,curated,no_fulltext_paywall,10.1108/inmr-11-2022-0144,2026-08-16
09收尾,blog,tavily,outside_window_or_wrong_kind,http://article.sapub.org/10.5923.j.mm.20170705.01.html,2026-08-16
09收尾,blog,tavily,dissertation_not_blog_quota,https://osuva.uwasa.fi/bitstreams/9c4916f5-9921-4675-8719-43c5cc7a6e1b/download,2026-08-16
09收尾,blog,tavily,dissertation_not_blog_quota,https://scholarworks.waldenu.edu/cgi/viewcontent.cgi?article=8579&context=dissertations,2026-08-16
09收尾,blog,tavily,too_short,https://www.projectmanagement.com/discussion-topic/217800/managing-knowledge-transfer-in-projects--best-practices,2026-08-16
