stage,kind,query,reason,url_or_doi,date
02需求,blog,requirements elicitation workshop techniques engineering,fulltext_too_short,https://www.scribd.com/document/841650625/Requirements-elicitation-and-its-techniques,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.3390/software4010006,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.3390/computers14020076,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.48550/arxiv.2412.16667,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.48550/arxiv.2312.01981,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.48550/arxiv.2310.14735,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.3390/math12050629,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.1007/s43681-023-00331-3,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.3390/su16052032,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.1177/87569728241254095,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.3390/app14051792,2026-08-16
02需求,paper,"""requirements elicitation"" techniques empirical software",title_abstract_not_on_topic,10.30574/ijsra.2024.11.1.0218,2026-08-16
02需求,paper,"""requirements traceability"" acceptance criteria",title_abstract_not_on_topic,10.1016/j.plas.2023.100101,2026-08-16
02需求,paper,"""requirements traceability"" acceptance criteria",title_abstract_not_on_topic,10.1145/3626234,2026-08-16
02需求,paper,"""requirements traceability"" acceptance criteria",title_abstract_not_on_topic,10.1016/j.jii.2024.100578,2026-08-16
02需求,paper,"""requirements traceability"" acceptance criteria",title_abstract_not_on_topic,10.1080/09537287.2023.2296669,2026-08-16
02需求,paper,"""requirements traceability"" acceptance criteria",title_abstract_not_on_topic,10.1093/mnras/stae1982,2026-08-16
02需求,paper,"""requirements traceability"" acceptance criteria",title_abstract_not_on_topic,10.3390/s25103075,2026-08-16
02需求,paper,"""requirements traceability"" acceptance criteria",title_abstract_not_on_topic,10.1007/s11214-024-01072-3,2026-08-16
