change_id,stage,proposal,evidence_ids,decision,target_file,note
C01-01,01,G0 三问适配缺一不过门（单选产品线/复述原话/禁售改口）,01-P25;01-P29;ISO9001,采用,流程/01 客户初次洽谈/AGENT.md;流程/01 客户初次洽谈/模板_商机卡.md,打分只拒不保
C01-02,01,一张商机卡只许一条产品线；诊断现场不得升冲刺,01-P12;01-P09;01-P35,采用,流程/01 客户初次洽谈/模板_商机卡.md;合同/核心合同.md,与既有战略同构
C01-03,01,保证推荐/报名必须改口或拒单,ISO9001;ISO20700;禁售清单,采用,流程/01 客户初次洽谈/禁售清单.md,不新增禁售句只补改口脚本
C02-01,02,treat_need_ids 与 holdout_need_ids 求交必须为空,02-P19;02-P20,采用,agent_pm/engine.py;流程/02 需求文档/模板_需求规格.md,硬规则
C02-02,02,每条 need 有来源且可灌 queries.need_id,02-P07;02-P25;IEEE29148,采用,流程/02 需求文档/模板_需求规格.md,03 不另建系统
C02-03,02,改 need/平台/验收必须新 freeze_id,02-P20;02-P30,采用,流程/02 需求文档/AGENT.md,未冻结禁止对比
C07-01,07,人天=问法×平台×允许轮次×角色；标定前为假设,07-P01;07-P23;AACE,采用,流程/07 预算和资源管理/工时标准.md,禁止公开 MMRE 当定额
C07-02,07,quote_excludes_l1 永久为是,07-P44;07-P52;禁售清单,采用,agent_pm/engine.py,已有硬规则保持
C07-03,07,应急预留只覆盖已识别风险；诊断骨架禁干预,07-P27;AACE40R,采用,流程/07 预算和资源管理/工时标准.md;流程/07 预算和资源管理/预算表.csv,
C08-01,08,增加 comms_api_not_primary=是,08-P21;08-P22;PRINCE2,采用,合同/核心合同字段.csv;agent_pm/engine.py,决策人不得以 API 为主表
C08-02,08,附件顺序 App主表→监测组→API附表,08映射§7,采用,流程/08 沟通/沟通矩阵.md,
C08-03,08,口头放宽四选一视为变更作废,08-P27;IAP2,采用,流程/08 沟通/模板_会议纪要.md,
C04-01,04,新增 plan_hours>0 且不超过 budget_hours,04-P12;04-P05,采用,合同/核心合同字段.csv;agent_pm/engine.py,
C04-02,04,门名统一 G2 废除 G2′,合同漂移,采用,合同/核心合同.md;合同/项目流程SOP.md;合同/案件合同卡.md,
C04-03,04,冲刺复测标为 05 执行窗,04-P05;04-P06,采用,流程/04 项目计划/模板_进度基线.md;流程/04 项目计划/模板_WBS.md,
C05-01,05,冲刺必填 intervention_need_ids/holdout_untouched/intervention_completed_on/wait_days,05-P34;05-P36;05-B11,采用,合同/核心合同字段.csv;agent_pm/engine.py,need 必须属于 02 处理组
C05-02,05,冲刺最终 verdict_4 只从本步复测产生,05-P37,采用,合同/核心合同.md;agent_pm/engine.py,已有部分逻辑补全字段
C05-03,05,监测组被改则只许不能下结论,05-B10;05-B11;05-P24,采用,流程/05 推进实施控制/AGENT.md,
C06-01,06,交付路径只认 案件/{本案}/出数/,06-P39;IEEE828,采用,流程/06 交付物/AGENT.md;流程/06 交付物/模板_验收单.md,禁止共享出数目录
C06-02,06,新增 delivery_manifest_checksum/freeze_match/delivery_accepted,06-P18;06-P29,采用,合同/核心合同字段.csv;agent_pm/engine.py,未接收不得进 09
C06-03,06,接收/拒收/补件三选一,06-P39;ISO12207,采用,流程/06 交付物/模板_验收单.md,
C09-01,09,结项只复述 06 不得重开 L1,09-P06;09-P21;ISO21502,采用,合同/核心合同.md;agent_pm/engine.py,已有 close_no_reopen_l1
C09-02,09,增加 close_manifest_ok/close_board_empty/close_archive_ok,09-P02;09-P28,采用,合同/核心合同字段.csv;agent_pm/engine.py,
C09-03,09,资产只沉淀结构且脱敏,09-P12;ISO30401,采用,流程/09 收尾/模板_资产移交.md,
R01,all,把厂商 18%/73%/6-12月/Green Book+200% 写入定额,各站博客,拒绝,—,他行业或营销数
R02,all,保证按期/保证推荐/报名因此增长,禁售,拒绝,—,与战略冲突
R03,03,改测量算法或放宽四选一,计划约束,拒绝,流程/03 测量,03 只修跨站引用
