query_id,text,set,intent,locale,treat,active,style,branded,kumar_cat,need_id,paraphrase_id,persona,asset_class
Q01,示例市叉车证在哪里报名,core,locale,示例市,1,1,tidy,0,discovery,N01,1,default,vertical_public
Q02,示例市叉车证哪家培训正规,core,compare,示例市,1,1,tidy,0,comparison,N02,1,default,vertical_public
Q03,叉车证呢 哪儿办,core,locale,示例市,1,1,fragment,0,discovery,N01,2,default,vertical_public
Q04,插车证报名啊 示例市,core,locale,示例市,1,1,typo,0,discovery,N01,3,default,vertical_public
Q05,附近有没有那个开叉车的证怎么弄,core,category,示例市,1,1,voice,0,use_case,N03,1,voice,vertical_public
Q06,叉车本靠谱不 别坑,core,risk,示例市,1,0,slang,0,problem_solution,N04,1,default,vertical_public
Q07,示例市叉车证多少钱啊要啥材料靠谱吗,core,risk,示例市,1,0,mix,0,problem_solution,N04,2,default,vertical_public
Q08,办个铲车证 急,core,category,示例市,1,1,slang,0,use_case,N03,2,default,vertical_public
Q09,叉车证报名需要什么材料,core,qualify,全国,1,0,tidy,0,expert,N05,1,default,vertical_public
Q10,亲 叉车证代办吗示例市,core,risk,示例市,1,0,groupchat,0,problem_solution,N04,3,group,vertical_public
Q11,叉车驾照在哪考 示例,core,locale,示例市,1,1,wrong_word,0,discovery,N01,4,default,vertical_public
Q12,有人知道示例市叉车证哪家不坑吗 急,core,compare,示例市,1,1,groupchat,0,comparison,N02,2,group,vertical_public
Q13,附近叉车培训怎么收费,core,category,示例市,1,0,tidy,0,use_case,N03,3,default,vertical_public
Q14,叉车证会不会被骗啊,core,risk,示例市,1,0,slang,0,problem_solution,N04,4,default,vertical_public
Q15,特种作业那个证 叉车 示例市,core,category,示例市,1,0,fragment,0,use_case,N03,4,default,vertical_public
Q16,我想考叉车要多久能不能周末,core,qualify,示例市,1,0,mix,0,expert,N05,2,default,vertical_public
Q17,叉车证挂了怎么补,holdout,qualify,示例市,0,1,slang,0,expert,H01,1,default,vertical_public
Q18,复审过期了还能用吗叉车,holdout,qualify,示例市,0,1,mix,0,expert,H02,1,default,vertical_public
Q19,女的能考叉车证吗,holdout,qualify,示例市,0,1,slang,0,expert,H03,1,default,vertical_public
Q20,别的市的证这边认不认,holdout,qualify,示例市,0,1,mix,0,expert,H04,1,default,vertical_public
Q21,外地身份证能不能在示例市考叉车,holdout,qualify,示例市,0,1,mix,0,expert,H05,1,default,vertical_public
Q22,叉车证查询官网是哪个,holdout,qualify,示例市,0,1,tidy,0,expert,H06,1,default,vertical_public
